csv-train_loss_step,step,csv-epoch,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/micro,csv-accuracy/none,csv-train_loss_epoch
3.489089250564575,0,0,,,,,
2.8100240230560303,1,0,,,,,
,0,,2.804755926132202,,,,
,1,0,,2.804755926132202,,,
,1,0,,,0.0,0.0,3.303889513015747
2.695509910583496,2,1,,,,,
2.4081003665924072,3,1,,,,,
,1,,2.608739137649536,,,,
,3,1,,2.608739137649536,,,
,3,1,,,0.0,0.0,2.6171257495880127
2.429882764816284,4,2,,,,,
2.3224334716796875,5,2,,,,,
,2,,2.229037046432495,,,,
,5,2,,2.229037046432495,,,
,5,2,,,0.0,0.0,2.400578498840332
2.2472469806671143,6,3,,,,,
2.1178221702575684,7,3,,,,,
,3,,1.6821471452713013,,,,
,7,3,,1.6821471452713013,,,
,7,3,,,0.0,0.0,2.211949348449707
2.077627182006836,8,4,,,,,
1.9228417873382568,9,4,,,,,
,4,,1.3411948680877686,,,,
,9,4,,1.3411948680877686,,,
,9,4,,,0.0,0.0,2.0354127883911133
1.8358631134033203,10,5,,,,,
1.7564260959625244,11,5,,,,,
,5,,1.2546411752700806,,,,
,11,5,,1.2546411752700806,,,
,11,5,,,0.0,0.0,1.814198613166809
1.6506173610687256,12,6,,,,,
1.6224777698516846,13,6,,,,,
,6,,1.1671167612075806,,,,
,13,6,,1.1671167612075806,,,
,13,6,,,0.0,0.0,1.6429427862167358
1.5361580848693848,14,7,,,,,
1.5379154682159424,15,7,,,,,
,7,,1.0784605741500854,,,,
,15,7,,1.0784605741500854,,,
,15,7,,,0.0,0.0,1.5366374254226685
1.4972256422042847,16,8,,,,,
1.3994742631912231,17,8,,,,,
,8,,0.9927657842636108,,,,
,17,8,,0.9927657842636108,,,
,17,8,,,0.0,0.0,1.4705661535263062
1.395878791809082,18,9,,,,,
1.417371153831482,19,9,,,,,
,9,,0.9287281632423401,,,,
,19,9,,0.9287281632423401,,,
,19,9,,,0.0625,0.0,1.4017401933670044
1.2982043027877808,20,10,,,,,
1.2574074268341064,21,10,,,,,
,10,,0.888009250164032,,,,
,21,10,,0.888009250164032,,,
,21,10,,,0.0625,0.0,1.2870780229568481
1.257949709892273,22,11,,,,,
1.2528818845748901,23,11,,,,,
,11,,0.8554244637489319,,,,
,23,11,,0.8554244637489319,,,
,23,11,,,0.125,0.0,1.2565677165985107
1.1650035381317139,24,12,,,,,
1.2279212474822998,25,12,,,,,
,12,,0.8203811645507812,,,,
,25,12,,0.8203811645507812,,,
,25,12,,,0.0625,0.0,1.182163119316101
1.1425890922546387,26,13,,,,,
1.1097177267074585,27,13,,,,,
,13,,0.780455470085144,,,,
,27,13,,0.780455470085144,,,
,27,13,,,0.125,0.0,1.1336243152618408
1.116292953491211,28,14,,,,,
1.0570622682571411,29,14,,,,,
,14,,0.7355213761329651,,,,
,29,14,,0.7355213761329651,,,
,29,14,,,0.125,0.0,1.1001391410827637
1.1017913818359375,30,15,,,,,
1.0725033283233643,31,15,,,,,
,15,,0.6976509690284729,,,,
,31,15,,0.6976509690284729,,,
,31,15,,,0.1875,0.0,1.0938037633895874
1.0804673433303833,32,16,,,,,
1.0077946186065674,33,16,,,,,
,16,,0.6664933562278748,,,,
,33,16,,0.6664933562278748,,,
,33,16,,,0.0625,0.0,1.0606474876403809
1.026379108428955,34,17,,,,,
1.0651127099990845,35,17,,,,,
,17,,0.6429437398910522,,,,
,35,17,,0.6429437398910522,,,
,35,17,,,0.1875,0.0,1.036942720413208
0.9862180948257446,36,18,,,,,
0.9958919882774353,37,18,,,,,
,18,,0.6303733587265015,,,,
,37,18,,0.6303733587265015,,,
,37,18,,,0.25,0.0,0.988856315612793
0.958919882774353,38,19,,,,,
0.9541108012199402,39,19,,,,,
,19,,0.6255768537521362,,,,
,39,19,,0.6255768537521362,,,
,39,19,,,0.0625,0.0,0.9576082825660706
0.9580996036529541,40,20,,,,,
0.9775542616844177,41,20,,,,,
,20,,0.6207237243652344,,,,
,41,20,,0.6207237243652344,,,
,41,20,,,0.125,0.0,0.963405430316925
0.9266077876091003,42,21,,,,,
0.9728989005088806,43,21,,,,,
,21,,0.6148335933685303,,,,
,43,21,,0.6148335933685303,,,
,43,21,,,0.0625,0.0,0.939232587814331
0.8819795846939087,44,22,,,,,
0.9798413515090942,45,22,,,,,
,22,,0.6020229458808899,,,,
,45,22,,0.6020229458808899,,,
,45,22,,,0.125,0.0,0.908669114112854
0.8698239922523499,46,23,,,,,
0.9135428667068481,47,23,,,,,
,23,,0.5929662585258484,,,,
,47,23,,0.5929662585258484,,,
,47,23,,,0.0625,0.0,0.881747305393219
0.8649663925170898,48,24,,,,,
0.852845311164856,49,24,,,,,
,24,,0.5824496150016785,,,,
,49,24,,0.5824496150016785,,,
,49,24,,,0.0625,0.0,0.8616605997085571
0.8121564388275146,50,25,,,,,
0.897581160068512,51,25,,,,,
,25,,0.566470205783844,,,,
,51,25,,0.566470205783844,,,
,51,25,,,0.125,0.0,0.8354540467262268
0.82500821352005,52,26,,,,,
0.7414662837982178,53,26,,,,,
,26,,0.5407190322875977,,,,
,53,26,,0.5407190322875977,,,
,53,26,,,0.125,0.0,0.8022239804267883
0.7783719301223755,54,27,,,,,
0.8200006484985352,55,27,,,,,
,27,,0.5090806484222412,,,,
,55,27,,0.5090806484222412,,,
,55,27,,,0.25,0.0,0.7897252440452576
0.7764238119125366,56,28,,,,,
0.783870279788971,57,28,,,,,
,28,,0.47398099303245544,,,,
,57,28,,0.47398099303245544,,,
,57,28,,,0.25,0.0,0.778454601764679
0.7266795635223389,58,29,,,,,
0.7540215849876404,59,29,,,,,
,29,,0.447858989238739,,,,
,59,29,,0.447858989238739,,,
,59,29,,,0.3125,0.0,0.7341365218162537
